SPECIES,LONGITUDE,LATITUDE
Papilio_garamas,-98.250043,19.196696
Papilio_garamas,-101.950378,21.357445
Papilio_garamas,-96.418626,15.926376
Papilio_garamas,-100.298277,19.563551
Papilio_garamas,-99.078398,19.554573
Papilio_garamas,-98.774973,19.071451
Papilio_garamas,-100.339186,19.485953
Papilio_garamas,-104.603024,20.102145
Papilio_garamas,-101.336372,20.68647
Papilio_garamas,-101.336372,20.686462
Papilio_garamas,-99.812852,20.695315
Papilio_garamas,-99.804005,20.686462
Papilio_garamas,-99.150268,19.447221
Papilio_garamas,-99.889868,20.520622
Papilio_garamas,-102.374627,21.751295
Papilio_garamas,-99.150108,19.448254
Papilio_garamas,-99.47894,19.296271
Papilio_garamas,-99.150338,19.447943
Papilio_garamas,-100.409789,20.593571
Papilio_garamas,-99.985634,20.395111
Papilio_garamas,-101.238729,19.693703
Papilio_garamas,-100.079705,20.406051
Papilio_garamas,-99.81285,20.695315
Papilio_garamas,-99.168438,19.374493
Papilio_garamas,-99.948892,20.748047
Papilio_garamas,-98.245323,19.324125
Papilio_garamas,-97.4226,18.451642
Papilio_garamas,-100.090691,20.410556
Papilio_garamas,-102.082,19.442799
Papilio_garamas,-98.2062,19.041297
Papilio_garamas,-102.754204,20.817571
Papilio_garamas,-98.008144,18.940776
Papilio_garamas,-100.070778,20.40219
Papilio_garamas,-99.048952,19.686001
Papilio_garamas,-97.24698,19.746801
Papilio_garamas,-98.315688,19.235273
Papilio_garamas,-98.188751,19.331656
Papilio_garamas,-100.037556,19.043621
Papilio_garamas,-99.613747,18.544737
Papilio_garamas,-103.512862,20.745941
Papilio_garamas,-101.898124,21.366664
Papilio_garamas,-100.092751,20.408626
Papilio_garamas,-101.9507,21.357676
Papilio_garamas,-103.5124,20.746412
Papilio_garamas,-101.950928,21.35776
Papilio_garamas,-99.19345,19.32
Papilio_garamas,-100.992218,22.151005
Papilio_garamas,-101.329372,20.653406
Papilio_garamas,-99.182885,19.423743
Papilio_garamas,-100.088631,20.409913
Papilio_garamas,-99.167616,19.283138
Papilio_garamas,-98.245462,19.016494
Papilio_garamas,-96.432495,15.940863
Papilio_garamas,-98.171795,19.273716
Papilio_garamas,-99.014711,19.593674
Papilio_garamas,-99.097969,18.970319
Papilio_garamas,-100.37207,20.584272
Papilio_garamas,-100.089763,20.401354
Papilio_garamas,-99.218194,20.006122
Papilio_garamas,-99.18644,19.321936
Papilio_garamas,-101.327956,20.67452
Papilio_garamas,-96.492405,16.074022
Papilio_garamas,-100.08427,20.400711
Papilio_garamas,-100.454229,20.674914
Papilio_garamas,-99.812844,20.695311
Papilio_garamas,-99.004133,19.393886
Papilio_garamas,-96.782985,16.818699
Papilio_garamas,-102.08407,19.444701
Papilio_garamas,-99.907737,24.025669
Papilio_garamas,-99.094791,19.289295
Papilio_garamas,-100.070778,20.407982
Papilio_garamas,-100.090005,20.398972
Papilio_garamas,-100.069405,20.383525
Papilio_garamas,-100.090691,20.397685
Papilio_garamas,-100.079705,20.389962
Papilio_garamas,-100.089318,20.395754
Papilio_garamas,-99.173528,19.279459
Papilio_garamas,-99.613752,18.544731
Papilio_garamas,-99.192263,19.321552
Papilio_garamas,-99.174639,19.337572
Papilio_garamas,-97.344056,17.528387
Papilio_garamas,-103.983064,20.703374
Papilio_garamas,-100.0912,20.398757
Papilio_garamas,-99.101516,19.000662
Papilio_garamas,-101.231915,19.669477
Papilio_garamas,-99.218302,19.651843
Papilio_garamas,-96.927351,19.442728
Papilio_garamas,-99.10618,18.988017
