sp.name,Longitude,Latitude
Anaea_aidea,-99.0403155,21.8258099
Anaea_aidea,-100.1734222,19.8055544
Anaea_aidea,-99.1205813,18.7617066
Anaea_aidea,-100.2069477,25.6319819
Anaea_aidea,-110.9611408,29.1536475
Anaea_aidea,-99.5825027,24.8293238
Anaea_aidea,-103.8412277,20.6870738
Anaea_aidea,-100.2033155,25.4556997
Anaea_aidea,-104.0337149,20.7137308
Anaea_aidea,-99.5831677,24.8287749
Anaea_aidea,-100.7618888,25.4989291
Anaea_aidea,-99.5829108,24.8288527
Anaea_aidea,-106.4406769,23.2991438
Anaea_aidea,-101.2679319,21.0392208
Anaea_aidea,-98.7357269,20.1007469
Anaea_aidea,-100.9441816,25.327123
Anaea_aidea,-99.8044944,20.6865247
Anaea_aidea,-89.5985669,21.0909038
Anaea_aidea,-98.9847988,23.5369438
Anaea_aidea,-100.2088469,25.6304911
Anaea_aidea,-95.9882352,15.8246263
Anaea_aidea,-96.0026819,15.852495
Anaea_aidea,-110.1044011,23.7993741
Anaea_aidea,-99.5829108,24.8294758
Anaea_aidea,-100.1738019,19.8077208
Anaea_aidea,-99.0102778,18.9430556
Anaea_aidea,-99.24,18.7663889
Anaea_aidea,-99.06,18.7147222
Anaea_aidea,-99.2347222,18.7744444
Anaea_aidea,-99.2825,18.4775
Anaea_aidea,-99.5416667,21.2416667
Anaea_aidea,-99.1416667,21.225
Anaea_aidea,-99.7416667,21.1083333
Anaea_aidea,-99.775,21.0583333
Anaea_aidea,-99.6083333,21.1416667
Anaea_aidea,-99.5916667,21.3916667
Battus_lycidas,-92.8580556,15.4241667
Battus_lycidas,-95.0563889,18.4722222
Battus_lycidas,-94.6719444,16.8797222
Battus_lycidas,-96.7047222,18.5897222
Battus_lycidas,-95.0386111,16.8419444
Battus_lycidas,-93.8616667,16.2255556
Battus_lycidas,-96.165,17.9119444
Battus_lycidas,-95.2894444,18.5119444
Battus_lycidas,-92.2533333,14.8705556
Battus_lycidas,-96.2730556,17.695
Battus_lycidas,-93.5797222,15.8497222
Battus_lycidas,-96.6911111,17.0580556
Battus_lycidas,-96.3133333,17.6661111
Battus_lycidas,-90.8619444,16.1491667
Battus_lycidas,-92.0494444,17.4638889
Battus_lycidas,-90.9327778,16.1158333
Battus_lycidas,-91.1780556,16.8230556
Battus_lycidas,-96.9733333,19.0683333
Battus_lycidas,-90.92417,16.11778
Caligo_uranus,-93.4561111,16.8788889
Caligo_uranus,-89.41,17.922
Caligo_uranus,-89.298,18.752
Caligo_uranus,-88.273,18.539
Caligo_uranus,-88.788,17.988
Caligo_uranus,-90.019,18.201
Caligo_uranus,-90.925438,16.116273
Caligo_uranus,-89.3,18.75
Caligo_uranus,-88.27,18.54
Caligo_uranus,-90.02,18.2
Caligo_uranus,-89.41,17.92
Caligo_uranus,-97.1002778,19.3216667
Caligo_uranus,-96.7316667,18.6444444
Caligo_uranus,-96.1344444,19.1808333
Caligo_uranus,-96.9275,19.54
Caligo_uranus,-96.9344444,19.0655556
Caligo_uranus,-89.7852778,18.105
Caligo_uranus,-97.8830556,20.25
